Species,SRR7160364,SRR7162297,SRR7162298,SRR7162299,SRR7162300,SRR7162301,SRR7162302,SRR7162303,SRR7162304,SRR7162305,SRR7162306,SRR7162307,SRR7162308,SRR7162309,SRR7162310,SRR7162311,SRR7162312,SRR7162313,SRR7162314,SRR7162315,SRR7162316,SRR7162317,SRR7162318,SRR7162319,SRR7162320,SRR7162321,SRR7162322,SRR7162323,SRR7162324,SRR7162325,SRR7162326,SRR7162327,SRR7162328,SRR7162329,SRR7162330,SRR7162331,SRR7162332,SRR7162333,SRR7162334,SRR7162335,SRR7162336,SRR7162337,SRR7162338,SRR7162339,SRR7162340,SRR7162341,SRR7162342,SRR7162343,SRR7162344,SRR7162345,SRR7162346,SRR7162347,SRR7162348,SRR7162349,SRR7162350,SRR7162351,SRR7162352,SRR7162353,SRR7162354,SRR7162355,SRR7162356,SRR7162357,SRR7162358,SRR7162359,SRR7162360,SRR7162361,SRR7162362,SRR7162363,SRR7162364,SRR7162365,SRR7162366,SRR7162367,SRR7162368,SRR7162369,SRR7162370,SRR7162371,SRR7162372,SRR7162373,SRR7162374,SRR7162375,SRR7162376,SRR7162377,SRR7162378,SRR7162379,SRR7162380,SRR7162381,SRR7162382,SRR7162383,SRR7162384,SRR7162385,SRR7162386,SRR7162387,SRR7162388,SRR7162389,SRR7162392,SRR7162393,SRR7162394,SRR7162395,SRR7162396,SRR7162397,SRR7162398,SRR7162399,SRR7162400,SRR7162401,SRR7162402,SRR7162403,SRR7162404,SRR7162405,SRR7162406,SRR7162407,SRR7162408,SRR7162409,SRR7162410,SRR7162411,SRR7162412,SRR7162413,SRR7162414,SRR7162415,SRR7162416,SRR7162417,SRR7162418,SRR7162419,SRR7162420,SRR7162421,SRR7162422,SRR7162423,SRR7162424,SRR7162425,SRR7162426,SRR7162427,SRR7162428
Aliivibrio fischeri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.195526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alkaliphilus metalliredigens,0,0,208.40555,0,0,0,52.487892,0,0,0,619.141577,0,0,439.2254,0,0,0,0,0,0,0,0,298.4429,0,130.29875,0,240.536166,82.56394,0,0,287.66015,0,0,0,0,54.61121,112.707405,0,0,0,0,0,0,0,163.33075,0,0,0,75.750916,0,0,0,0,0,0,0,110.61835,0,0,0,0,0,0,0,156.10909,0,0,0,0,0,0,0,0,0,0,151.1331,127.66771,0,229.24271,665.96264,0,0,0,0,0,90.57556,0,0,153.31818,0,0,0,0,1185.33343,1013.877107,0,86.03955,0,349.74396,0,491.61435,0,344.449654,443.70242,0,0,0,0,0,108.47186,0,0,123.21142,0,0,0,69.2463,0,0,0,0,0,173.57707,0,0,334.101785,0,0,817.60739,0,188.2773
Alkaliphilus oremlandii,0,0,363.98576,531.1106,683.13563,0,423.78229,270.8239,963.2734,0,0,528.73702,0,411.92035,71.927826,0,0,0,0,0,0,0,745.30615,106.047066,299.5504,0,1341.616604,0,610.74286,0,0,0,0,0,0,59.945744,395.10385,543.53155,0,0,814.7856,283.32153,0,0,0,579.32302,277.76956,119.80045,458.93733,1184.88731,0,0,0,0,0,0,0,0,0,0,0,524.4254,0,0,0,0,151.75743,0,0,83.29129,1362.9791,0,417.13696,1434.409,0,597.5018,1376.9689,0,0,68.01824,0,0,0,0,163.96391,0,0,23.03167,513.65983,690.58155,678.06635,0,0,442.62195,236.71756,390.31424,0,0,0,0,101.919426,302.53622,952.9727,382.40765,227.13478,377.08032,0,0,0,0,0,210.32472,282.03238,456.48438,0,0,356.135335,0,0,0,0,0,407.49985,120.486305,0,238.88596,199.46767,288.17264,423.4793,311.01535,0
Allochromatium vinosum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.9901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alteromonas sp. SN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.30794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aminobacterium colombiense,0,0,0,0,0,0,0,0,0,0,1702.61466,79.018585,0,0,0,0,0,141.40599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.00958,0,2282.80986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2320.55518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.51872,0,0,0,0,0,0,83.63355,79.735535,0,0,0,0,0,0,0,0,0,0,2446.63154,0,0,0
Ammonifex degensii,0,0,0,0,96.68541,0,0,0,71.02052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.1468,0,0,0,0,70.343285,0,104.70568,0,0,0,125.49988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.380135,0,0,0,0,0,0,0,0,75.39114,0,0,0,0,0,0,0,0,0,0,0,0,95.57065,0,0,0,79.9580235,124.710045,0,485.78136,0,0,0,53.24195,0,0,0,0,0,0,229.162294,0,0,0,0,0,0,0,0,0,67.11377,0,0,0,0,0,0,0,63.83614,0,0,0,0,0,0,0,0,0,0,0
Amycolatopsis mediterranei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.11341,0,0,0,0,0
Anaerococcus prevotii,0,0,0,380.55739,221.04889,169.313965,592.11965,0,0,0,191.5762,467.72537,0,0,0,194.517816,137.25616,211.55084,258.92325,0,0,292.4468,424.18673,563.50832,1185.470185,0,306.870083,0,680.78147,0,241.94705,0,0,0,0,0,641.00338,620.724112,0,0,694.2816,0,0,231.00891,0,549.72072,1272.664848,34.359657,718.130626,458.5856,0,152.19934,1482.342905,0,135.14214,166.15555,0,0,119.83701,0,0,361.04164,1522.178516,163.35257,0,0,158.24356,0,0,0,1333.10483,0,313.88637,537.05473,144.48749,498.197574,65.691635,0,554.741476,1156.810685,0,195.874715,0,115.8152,184.47568,95.908844,0,592.89294,906.56099,56.414764,646.7854,0,80.72053,169.65021,1142.33206,640.55772,0,0,887.47311,146.71863,193.33794,0,613.037144,0,127.01338,204.41953,0,0,0,882.59335,0,295.02011,121.988556,1004.8883,174.78087,0,0,0,0,0,0,76.675865,87.53203,0,104.30374,427.803095,102.08284,0,577.446405,567.61303,0
Anaerolinea thermophila,0,79.881134,0,109.298645,0,0,0,0,0,0,0,0,0,0,0,0,0,345.5869,0,0,0,0,0,0,168.567606,0,0,0,0,0,68.97048,0,0,0,0,0,90.59214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.46333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.026596,0,0,0,0,0,0,0,0,0,127.44679,0,0,0,0,0,0,0,181.05948,190.75479,0,109.61703,0,0,167.29128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
